QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
What type of subdivision is Michigan is the United States of America?	"0,3"	federal district	county	state	province	3	regents-04	23	2
Michigan is a state located in what country?	"0,1,2,3"	Mexico	the United States of America	Scotland	Wales	2	regents-04	23	4
Which is a state located in the United States of America	"0,1,2,3"	Minnesota	Lancashire	Kirkcudbrightshire	Cornwall	1	regents-04	24	0
Minnesota is located in what country?	"0,2"	USA	Canada	China	Scotland	1	regents-04	24	2
Minnesota is located in what country?	"0,3"	usa	Canada	China	Scotland	1	regents-04	24	4
Which one is a state in the United States of America	"0,1,2,3"	Texas	Water	Pacific Ocean	Football	1	regents-04	25	0
What type of subdivision is Mississippi?	0	province	county	country	state	4	regents-04	25	2
In which country is the state of Mississippi located in?	"0,1,2,3"	Mexico	United Kingdom	United States of America	People's Republic of China	3	regents-04	25	4
This is a state in the USA.	"0,1,2,3"	Missouri	Tijuana	Port au Prince	Miami	1	regents-04	26	0
Which type of subdivision is Missouri in The United States of America?	"0,3"	province	state	county	federal district	2	regents-04	26	2
What country contains the state of Missouri?	"0,2"	England	France	The United States of America	Canada	3	regents-04	26	4
In the United States of America Montana is a _______?	"0,1,3"	province	county	state	municipality	3	regents-04	27	2
Montana is located in _______?	"0,3"	USA	England	north pole	China	1	regents-04	27	4
What is the name of a state located in the United States of America?	"0,1,2,3"	Aberdeenshire	British Columbia	Nebraska	Tamaulipas	3	regents-04	28	0
Nebraska is a	"0,1"	Capital City	State	County	Province	2	regents-04	28	2
In which country is Nebraska a state?	"0,1,2"	Canada	England	the United States of America	Scotland	3	regents-04	28	4
Which is these states is located in the United States?	"0,1,2,3"	Nevada	Campeche	Tobasco	Aguascalientes	1	regents-04	29	0
Nevada is what type of subdivision?	0	state	province	country	county	1	regents-04	29	2
Nevada is located in what country?	"0,3"	USA	Canada	China	Scotland	1	regents-04	29	4
Which is a state in USA?	"0,1,2,3"	New Hampshire	Sinaloa	Fuijan	Shandong	1	regents-04	30	0
What type of subdivision is New Hampshire in the United States of America?	"0,3"	municipality	state	province	federal district	2	regents-04	30	2
New Hampshire is located in what country?	"0,3"	USA	Canada	China	Scotland	1	regents-04	30	4
Name a state on the east coast of the United States of America.	"1,3"	New Jersey	California	Idaho	Texas	1	regents-04	31	0
New Jersey is a _______ located in the United States of America.	"0,1,2,3"	province	county	city	state	4	regents-04	31	2
New Jersey is a state found in which country	"0,1,2,3"	China	United States	Vietnam	Afghanistan	2	regents-04	31	4
new mexico is what type of subdivision?	0	state	county	country	province	1	regents-04	32	2
The state of New Mexico is located in _______.	"0,2,3"	Mexico	The United States of America	Wales	Scotland	2	regents-04	32	4
_______ is a state located in the United States of America.	"0,1,2,3"	Yukon	New York	Warwickshire	Sichuan	2	regents-04	33	0
What is New York?	0	state	province	county	special administrative region	1	regents-04	33	2
The state of New York is located in which of the following country?	"0,2,3"	England	the United States of America	Wales	Scotland	2	regents-04	33	4
Which one of these is located in the United States of America?	"2,3"	Shetland	North Carolina	Fujian	Sussex	2	regents-04	34	0
In what country is North Carolina found?	"0,2"	Mexico	Canada	Wales	the United States if America	4	regents-04	34	2
Which one of these country is North Carolina located in?	"0,3"	the United States of America	England	Scotland	Canada	1	regents-04	34	4
Which of the following is a US state?	"0,1,3"	New South Wales	Surrey	North Dakota	Ontario	3	regents-04	35	0
North Dakora is located in what country?	"0,2"	USA	Canada	China	Scotland	1	regents-04	35	2
North Dakota is a state located in what country?	"0,1,2,3"	Mexico	China	Canada	United States	4	regents-04	35	4
Which is a state in USA?	"0,1,2,3"	Ohio	Staffordshire	Norfolk	Guerrero	1	regents-04	36	0
Ohio is a_______?	"0,1"	State	Province	Capital City	Municipality	1	regents-04	36	2
Ohio is in _______.	"0,3"	England	Wales	Canada	The United States	4	regents-04	36	4
Which of the following is a state of the United States of America?	"0,1,3"	Rutland	Oklahoma	Hainan	Pembrokeshire	2	regents-04	37	0
What type of subdivision in the United States is Oklahoma?	"0,3"	province	territory	county	state	4	regents-04	37	2
What country is the state of Oklahoma located in?	"0,1,2,3"	United States of America	Canada	Wales	Scotland	1	regents-04	37	4
Oregon is what type of subdivision located in the United States of America?	"0,1,2,3"	State	County	Country	Municipilaty	1	regents-04	38	2
Where is the state of Oregon located?	"0,2,3"	Canada	the United States of America	Mexico	Scotland	2	regents-04	38	4
Which of these is a state located in the United States of America?	"0,1,2,3"	Quebec	Morelos	Shaanxi	Pennsylvania	4	regents-04	39	0
Pennsylvania is a _______	"0,1"	county	state	province	country	2	regents-04	39	2
Where is the state of Pennsylvania located?	"0,2"	Canada	Mexico	the United States of America	England	3	regents-04	39	4
Rhode Island is located in what country?	2	USA	Canada	China	Scotland	1	regents-04	40	0
What time of subdivision of the United States of America is Rhode Island?	"0,1,2,3"	city	county	state	country	3	regents-04	40	2
Rhode Island is located in what country?	"0,3"	usa	Canada	China	Scotland	1	regents-04	40	4
Which of the following is a state located in the United States of America?	"0,1,2,3"	South Carolina	British Columbia	Rutland	Chihuahua	1	regents-04	41	0
South Carolina is a _______ located in the United States of America.	"0,3"	County	Province	City	State	4	regents-04	41	2
South Carolina is a state in which country?	"0,1,2,3"	England	Germany	Spain	United States	4	regents-04	41	4
The state of _______ is located in the United States of America.	"1,2,3"	Yorkshire	Buteshire	South Dakota	Flintshire	3	regents-04	42	0
In the United States of America South Dakota is a _______?	"0,1,3"	state	section	county	province	1	regents-04	42	2
What country is South Dakota located in?	"0,3"	United States	Canada	England	France	1	regents-04	42	4
Which is a state in the United States of America?	"0,1,3"	New Brunswick	Tennessee	Aguascalientes	Merioneth	2	regents-04	43	0
Tennessee is what part of USA?	"0,3"	state	city	Country	province	1	regents-04	43	2
Where is Tennessee located in?	"0,3"	Wales	Scotland	Mexico	United States of America	4	regents-04	43	4
Which of the following is a state?	"0,1"	Caernarfonshire	York	Texas	Mexico	3	regents-04	44	0
"Texas, located in the United States of America is what type of subdivision?"	"0,2,3"	province	state	county	territory	2	regents-04	44	2
Texas is located in what country?	"0,3"	USA	Canada	China	Scotland	1	regents-04	44	4
Which one is a state in the United States of America	"0,1,3"	Ontario	London	Utah	Mexico City	3	regents-04	45	0
Utah is a _______ in the United States.	"0,1,3"	State	Country	City	Province	1	regents-04	45	2
Utah is a state in which country?	"0,1,2"	Canada	Mexico	the United States of America	England	3	regents-04	45	4
Which of these is a state located in the United States of America?	"0,1,2,3"	Yukon	Vermont	Surrey	Cardiganshire	2	regents-04	46	0
"Vermont, located in the United States of America, is a_______"	"0,1,2,3"	State	Capital City	Territory	County	1	regents-04	46	2
In what country is Vermont located?	"0,3"	Canada	England	Scotland	United States	4	regents-04	46	4
Virginia is located in what country?	2	USA	Canada	China	Scotland	1	regents-04	47	0
Virginia is a _______ located in the United States of America.	"0,1,2,3"	state	country	continent	municipality	1	regents-04	47	2
The state of Virginia is located in what country?	"0,1,2,3"	Canada	England	the United States of America	China	3	regents-04	47	4
Which is a state located in the United States of America	"0,1,2,3"	Zacatecas	Washington; Washington State	MichoacÌ_Ì¤n	Hertfordshire	2	regents-04	48	0
"Washington, in the United States of America, is a_______"	"0,1,2,3"	State	Territory	Protectorate	County	1	regents-04	48	2
Which country is Washington; Washington State located in?	"0,3"	England	the United States of America	Mexico	Scotland	2	regents-04	48	4
Which is a state located in the United States of America	"1,2,3"	West Virginia	Kent	Glamorgan	Selkirkshire	1	regents-04	49	0
What type of subdivision is West Virginia in THe United States of America?	"0,3"	county	province	state	federal district	3	regents-04	49	2
West Virginia is a state located where?	"0,1,2,3"	Mexico	Scotland	the United States of America	the People's Republic of China	3	regents-04	49	4
Which is a state in USA?	"0,1,2,3"	wisconsin	Michuacan	Quintana Roo	Staffordshire	1	regents-04	50	0
Which is a state in the United States of America?	"0,2,3"	Peru	Wisconsin	Sutherland	Tallahassee	2	regents-04	50	2
Wisconsin is located in what country?	"0,3"	USA	Canada	China	Scotland	1	regents-04	50	4
Wyoming is located in what country?	2	USA	Canada	China	Scotland	1	regents-04	51	0
Wyoming is what type of subdivision in the United States	"0,3"	State	City	County	Time Zone	1	regents-04	51	2
Wyoming is a state located in which country	"0,1,2,3"	the United States of America	the People's Republic of China	Mexico	Scotland	1	regents-04	51	4
Which is a federal district located in USA?	"0,1,2,3"	Disctric of Columbia	Quebec	Arizona	New Hampshire	1	regents-04	52	0
"Washington, D.C. is an example of a _______ in the United States of America."	"0,1,3"	province	state	federal district	territory	3	regents-04	52	2
District of Columbia is a federal district located in which country?	"0,1,2,3"	the United States of America	Columbia	Mexico	Scotland	1	regents-04	52	4
Which province is located in Canada	"1,2,3"	Ontario	Somerset	Wiltshire	Shaanxi	1	regents-04	53	0
What type of subdivision is Ontario in Canada?	"0,3"	state	province	federal district	municipality	2	regents-04	53	2
Ontario is a province located in which country?	"0,1,2,3"	Mexico	England	Canada	the United States of America	3	regents-04	53	4
Which of these is a province in Canada?	"0,1,2,3"	Quebec	South Carolina	Kentucky	Cornwall	1	regents-04	54	0
Quebec is a _______ found in Canada.	"0,1,3"	state	province	county	territory	2	regents-04	54	2
Quebec is a province located in what country	"0,1,2,3"	Canada	Wales	Mexico	the United States of America	1	regents-04	54	4
Which is a province located in Canada?	"0,1,2,3"	Nova Scotia	Hampshire	Delaware	East Lothian/Haddingtonshire	1	regents-04	55	0
Nova Scotia is considered to be a _______ of Canada.	"0,3"	county	province	municipality	state	2	regents-04	55	2
Where is Nova Scotia located?	"0,3"	Scotland	England	Wales	Canada	4	regents-04	55	4
Which of the these is a province in Canada?	"0,1,2,3"	Monmouthshire	Durham	New Brunswick	Argyllshire	3	regents-04	56	0
Which of the following is New Brunswick in Canada?	"0,1,3"	province	county	state	district	1	regents-04	56	2
Which country contains the province New Brunswick?	"0,2"	Scotland	England	Wales	Canada	4	regents-04	56	4
Which is located in the country of Canada?	"2,3"	Manitoba	Hebei	Wisconsin	Montgomeryshire	1	regents-04	57	0
_______ has a province called Manitoba.	"0,2"	Canada	Mexico	England	Scotland	1	regents-04	57	4
_______ is a province in canada.	"0,1,3"	British Columbia	Monmouthshire	Quintana Roo	French Columbia	1	regents-04	58	0
What type of subdivision is British Columbia?	"0,1"	province	county	state	city	1	regents-04	58	2
British Columbia  is located in what country??	"0,3"	Canada	England	Wales	USA	1	regents-04	58	4
Which is a provice in Canada?	"0,1,2,3"	Prince Edward Island	Perthshire	Sutherland	Coahulia	1	regents-04	59	0
Prince Edward Island is what type of part of Canada?	"0,1,3"	province	state	city	country	1	regents-04	59	2
In what country is the province of Prince Edward Island located?	"0,2,3"	Canada	United States	China	Scotland	1	regents-04	59	4
Which of these places would you find in the country Canada?	"2,3"	Colorado	Saskatchewan	Yorkshire	Ningxia	2	regents-04	60	0
Saskatchewan is a province located in what country?	0	United states of America	Scotland	Wales	Canada	4	regents-04	60	4
Which subdivision is a province found in Canada?	"0,1,2,3"	Hawaii	Alberta	Idaho	Hainan	2	regents-04	61	0
"Alberta, Canada is a _______"	"0,1,3"	state	province	country	continent	2	regents-04	61	2
In which of the following countries is the province of Alberta located in?	"0,2,3"	Mexico	Scotland	Canada	Wales	3	regents-04	61	4
Which of these is a province located in Canada?	"0,1,2,3"	Shanxi	Pembrokeshire	Newfoundland and Labrador	Connecticut	3	regents-04	62	0
"In Canada, Newfoundland and Labrador are what type of subdivision?"	"0,1,2,3"	county	province	state	city	2	regents-04	62	2
Newfoundland and Labrador is a province in which country?	"0,1,2,3"	Canada	USA	China	Mexico	1	regents-04	62	4
In what country are the Northwest Territories?	"2,3"	England	Scotland	Canada	United States of America	3	regents-04	63	0
Northwest Territories is a territory located in what country?	"0,1,2,3"	Canada	Wales	Scotland	England	1	regents-04	63	4
Which territory is located in Canada	"1,2,3"	Yukon	Morelos	Radnorshire	Henan	1	regents-04	64	0
Yukon is a _______ located in Canada.	"0,1,2,3"	territory	province	county	state	1	regents-04	64	2
Yukon  is located in what country?	"0,3"	Canada	china	usa	Scotland	1	regents-04	64	4
Nunavut is a what in Canada?	"0,1,3"	Territory	Country	Planet	Galaxy	1	regents-04	65	2
Nunavut is located in what country?	"0,3"	Canada	china	USA	Scotland	1	regents-04	65	4
Which subdivision is a county located in England?	"0,1,2,3"	Maryland	Durango	Shanxi	Bedfordshire	4	regents-04	66	0
Bedfordshire is considered a	0	County	State	Province	City	1	regents-04	66	2
What country contains the county of Bedfordshire?	"0,2"	Wales	Scotland	England	Canada	3	regents-04	66	4
Which of the following is located in England?	"2,3"	Sonora	Morayshire	Berkshire	Conneticut	3	regents-04	67	0
What type of subdivision is Berkshire in England?	"0,3"	province	county	state	federal district	2	regents-04	67	2
Which of these choices is located in England?	"2,3"	Montana	Sutherland	Flintshire	Buckinghamshire	4	regents-04	68	0
Buckinghamshire is which type of subdivision located in England?	"0,2,3"	province	county	state	autonomous region	2	regents-04	68	2
Which country has Buckinghamshire in it as a county?	"0,2"	Index	Wall Street	Jupiter	England	4	regents-04	68	4
_______ is a county located in England.	"0,1,2,3"	Buteshire	Northumberland	Cambridgeshire	Tennessee	3	regents-04	69	0
"Located in England, Cambridgeshire is a _______ within England."	"0,1,2,3"	municipality	county	state	province	2	regents-04	69	2
In which country is the county of Cambridgeshire located?	"0,1,2,3"	England	Scotland	United States	Australia	1	regents-04	69	4
Which county is located in England?	"1,2,3"	New Brunswick	Cheshire	Beijing Municipality; Beijing	Chihuahua	2	regents-04	70	0
Cheshire is a _______ located in England	"0,1,2,3"	State	Continent	County	Province	3	regents-04	70	2
What county is Cheshire located in?	"0,2,3"	Canada	England	Scotland	Wales	2	regents-04	70	4
Which of the following is a county located in England?	"0,1,2,3"	Henan	Ontario	Nunavut	Cornwall	4	regents-04	71	0
Cornwall is a _______ located in England?	"0,1,2,3"	county	country	side dish	politician	1	regents-04	71	2
Cornwall is a count located in what country?	"0,1,2,3"	England	The United States of America	Scotland	Mexico	1	regents-04	71	4
Which choice is a county located in England?	"0,1,2,3"	Puebla	Midlothian/Edinburghshire	Cumbria (Cumberland)	Cardiganshire	3	regents-04	72	0
Cumbria (Cumberland) located in England is which of these?	"0,2,3"	county	state	province	autonomous region	1	regents-04	72	2
Which country is Cumbria (Cumberland) a county of?	"0,1,2"	China	Mexico	England	USA	3	regents-04	72	4
Which is a county located in England?	"0,1,2,3"	Monmouthshire	Derbyshire	New South Wales	Angus/Forfarshire	2	regents-04	73	0
"Derbyshire, which is in England, is a what?"	"0,1,3"	Atmosphere	Province	Hemisphere	Country	2	regents-04	73	2
Which is a county located in England?	"0,1,2,3"	Alberty	Hidalgo	Arizona	Devon	4	regents-04	74	0
Devon is a _______ of England	"0,1,2,3"	County	Province	State	Country	1	regents-04	74	2
What country is Devon located in	"0,3"	England	Scotland	Mexico	the People's Republic of China	1	regents-04	74	4
Which of the following is a county located in England?	"0,1,2,3"	Dorset	Saturn	Uganda	Watermelon	1	regents-04	75	0
Dorset is what part of England?	"0,3"	county	state	city	province	1	regents-04	75	2
In what country is the county of Dorset located?	"0,1,2,3"	Wales	Scotland	England	Canada	3	regents-04	75	4
Durham is an English _______.	"0,1,3"	municipality	county	state	province	2	regents-04	76	2
Durham is la county located in what country?	"0,1,2,3"	England	Canada	China	Scotland	1	regents-04	76	4
_______ is a county located in England.	"0,1,2,3"	Essex	Guanajuato	Kansas	Scotland	1	regents-04	77	0
Essex is a what located in England?	"0,1,2,3"	county	autonomous region	state	municipality	1	regents-04	77	2
Essex is a county located where?	"0,1,2"	the People's Republic of China	the United States of America	England	Scotland	3	regents-04	77	4
Which is a county of England?	"0,1,2,3"	Glouchestershire	Indiana	Nevada	Texas	1	regents-04	78	0
Gloucestershire is a _______ located in England?	"0,1,3"	county	golf course	state	country	1	regents-04	78	2
Which country is Gloucestershire county located in?	"0,1,2,3"	Mexico	The United States of America	Scotland	England	4	regents-04	78	4
Which subdivision is located in England?	"2,3"	Hampshire	South Carolina	Quebec	North Dakota	1	regents-04	79	0
Hampshire is what part of England?	"0,2,3"	county	province	city	state	1	regents-04	79	2
Which country is Hampshire located in?	"0,3"	the United States of America	England	Mexico	Scotland	2	regents-04	79	4
Which of the following is a county located in England?	"0,1,2,3"	Idaho	Hertfordshire	Qinghai	Georgia	2	regents-04	80	0
Hertfordshire is what type of subdivision located in England?	"0,1,2,3"	county	state	province	town	1	regents-04	80	2
Hertfordshire is a county located in which country?	"0,1,2,3"	Mexico	England	the United States of America	the People's Republic of China	2	regents-04	80	4
Which subdivision is located in England?	"2,3"	Carmarthenshire	Huntingdonshire	Georgia	Wyoming	2	regents-04	81	0
A _______ in England is called Huntingdonshire.	"0,3"	state	county	province	section	2	regents-04	81	2
What country is the county of Huntindonshire located in?	"0,2,3"	England	Scotland	Wales	The United States of America	1	regents-04	81	4
Which subdivision is located in England?	"2,3"	Kent	Colima	Denbighshire	Wyoming	1	regents-04	82	0
where is the county of kent located	3	mexico	canada	united states	england	4	regents-04	82	2
Kent county is located in	"0,2,3"	The United States of America	Scotland	The People's Republic of China	England	4	regents-04	82	4
Which of these is a county located in England?	"0,1,2,3"	South Dakota	Texas	Jiangxi	Lancashire	4	regents-04	83	0
"In the country of England, Lancashire is what type of subdivision?"	"0,1,2,3"	state	county	province	city	2	regents-04	83	2
Lancashire is a county in _______	"0,1,2"	England	Wales	Mexico	the United States of America	1	regents-04	83	4
An example of a county in England is:	"0,1,2,3"	Yukon	Virginia	Fife	Leicestershire	4	regents-04	84	0
what is Leicestershire in England?	"0,3"	Municipality	County	State	Province	2	regents-04	84	2
Leicestershire is a county located in what country	"0,1,2,3"	England	Canada	Mexico	the People's Republic of China	1	regents-04	84	4
Which county is located in England?	"0,1,2,3"	Cumbria	Oregon	Wyoming	Lincolnshire	4	regents-04	85	0
"Located in England, Lincolnshire is an example of what kind of subdivision?"	"0,1,2,3"	country	state	county	territory	3	regents-04	85	2
Lincolnshire is a country located in	"0,1,2,3"	England	the People's Republic of China	Scotland	the United States of America	1	regents-04	85	4
Which of these counties is located in England?	"1,2,3"	Middlesex	Delaware	Tabasco	Quinghai	1	regents-04	86	0
Middlesex is located in England and is a?	"0,1,2,3"	province	state	county	municipality	3	regents-04	86	2
Middlesex is a county located in _______?	"0,1,2,3"	Mexico	China	USSR	England	4	regents-04	86	4
Which of these is a county located in England?	"0,1,2,3"	Tabasco	Peeblesshire	Norfolk	Cardiganshire	3	regents-04	87	0
One example of a _______ in England is Norfolk.	"0,3"	county	province	federal district	state	1	regents-04	87	2
In which country is the county of Norfolk located?	"0,1,2,3"	The United States of America	Wales	Scotland	England	4	regents-04	87	4
Which of the following is a county located in England?	"0,1,2,3"	Arizona	Louisiana	Northamptonshire	Cornwall	3	regents-04	88	0
Northamptonshire is a _______?	"0,1"	mountain peak	state	province	county	4	regents-04	88	2
What country is the county Northamptonshire located in?	"0,1,2,3"	Mexico	Scotland	Canada	England	4	regents-04	88	4
_______ is a county located in England.	"0,1,2,3"	Northumberland	Campeche	Qinghai	Selkirkshire	1	regents-04	89	0
"What type of location is Northumberland, England?"	"0,2,3"	Suburb	Beach	County	Country	3	regents-04	89	2
Which country contains the county Northumberland?	"0,2"	Canada	Scotland	England	The United States of America	3	regents-04	89	4
What is a county located in England?	"0,1,2,3"	Northwest Territories	Nottinghamshire	Dumfriesshire	Durango	2	regents-04	90	0
Nottinghamshire in England is an example of a:	"0,1,3"	province	county	state	region	2	regents-04	90	2
Nottinghamshire is a county located in what country	"0,1,2,3"	England	Scotland	Mexico	Wales	1	regents-04	90	4
Which one of the following is located in England?	"2,3"	Gansu	Liaoning	QuerÌ_å©taro	Oxfordshire	4	regents-04	91	0
Oxfordshire is a _______ of England.	"0,1,2,3"	State	County	Town	Country	2	regents-04	91	2
Oxfordshire is a county of which European country?	"0,1,2,3"	England	Germany	Iceland	Russia	1	regents-04	91	4
Which is a county located in England?	"0,1,2,3"	Rutland	Flintshire	Caithness	Selkirkshire	1	regents-04	92	0
Rutland is a _______ located in England.	"0,1,2,3"	county	state	province	territory	1	regents-04	92	2
In which country is the county of Rutland located in?	"0,3"	England	Wales	Canada	Scotland	1	regents-04	92	4
Which is a county located in England?	"0,1,2,3"	Shropshire	Alberta	North Carolina	New Jersey	1	regents-04	93	0
Shripshire is a _______ in England.	"0,2"	Province	City	County	State	3	regents-04	93	2
Shropshire is located in what country?	"0,3"	England	Canada	China	USA	1	regents-04	93	4
"In England, Somerset is what type of subdivision?"	"0,1,3"	state	county	province	city	2	regents-04	94	2
Somerset is a county in what country?	"0,1,2"	United States	China	England	Wales	3	regents-04	94	4
_______ is a county located in England.	"0,1,2,3"	Staffordshire	Berwickshire	Durham	Cumbria (Cumberland)	1	regents-04	95	0
"Which of the following is Staffordshire, England considered to be?"	"0,3"	State	County	Province	Territory	2	regents-04	95	2
Staffordshire is a county located in what country?	"0,1,2,3"	Australia	People's Republic of China	England	the United States of America	3	regents-04	95	4
What type of subdivision is Suffolk in England?	"0,1,2,3"	city	state	county	province	3	regents-04	96	2
Suffolk is a county in which country?	"0,1,2"	England	Wales	Scotland	Ireland	1	regents-04	96	4
Surrey is a country located in	"0,1,2"	the United States of America	Canada	England	Mexico	3	regents-04	97	0
"Surrey, located in England is a?"	"0,1,2,3"	county	municipality	province	territory	1	regents-04	97	2
"What country is the the county, Surrey located in?"	"0,1,2,3"	Wales	The US	Mexico	England	4	regents-04	97	4
Which subdivision is located in England?	"2,3"	Yukon	Sussex	Guizhou	Virginia	2	regents-04	98	0
England has a _______ called Sussex.	"0,3"	section	county	province	state	2	regents-04	98	2
Sussex is a county found in what country?	"0,1,2"	Jupiter	Kinetic	Solar	England	4	regents-04	98	4
Which subdivision is a county located in England?	"0,1,2,3"	Warwickshire	Fujian	Banffshire	Morayshire	1	regents-04	99	0
"Warkwichshire, located in England, is an example of what?"	"0,2,3"	state	county	province	territory	2	regents-04	99	2
Warwickshire is a county in which country?	"0,1,2,3"	USA	Canada	England	China	3	regents-04	99	4
Which of the following is a county located in England?	"0,1,2,3"	Lanarkshire	Westmoreland	Perthshire	Hainan	2	regents-04	100	0
"Westmoreland, which is located in England, is a what?"	"0,1,2,3"	State	County	Province	Planet	2	regents-04	100	2
What country is the county Westmoreland located?	"0,1,2,3"	Scotland	Mexico	the United States of America	England	4	regents-04	100	4
Which subdivision is located in England?	"2,3"	Campeche	Wiltshire	Morayshire	North Dakota	2	regents-04	101	0
"Located in England, what type of subdivision is Wiltshire?"	"0,1,2,3"	state	province	county	neighborhood	3	regents-04	101	2
In which country is Wiltshire County located?	"0,2,3"	England	Scotland	Ireland	Canada	1	regents-04	101	4
Which subdivision is located in England?	"2,3"	Surrey	Henan	Sutherland	Worcestershire	4	regents-04	102	0
Worcestershire is a _______ located in England.	"0,1,2,3"	county	state	municipality	autonomous region	1	regents-04	102	2
Where is the county Worcestershire located?	"0,1,2,3"	England	The United States of America	Mexico	Wales	1	regents-04	102	4
Which county is located in England	"1,2,3"	Yorkshire	Denbighshire	Banffshire	Buteshire	1	regents-04	103	0
"Yorkshire, England is a:"	"0,1,3"	municipality	republic	state	county	4	regents-04	103	2
Which of this county is located in England?	"2,3"	Angus	Montana	Yorkshire	Kincardineshire	3	regents-04	103	4
Which county located in Wales is an island?	"0,1,2,3"	Anglesey	Shandong	Ross-shire	Devon	1	regents-04	104	0
Anglesey is a _______ located in Wales.	"0,1,2,3"	state	territory	county	province	3	regents-04	104	2
In which of the following countries is Anglesey located in?	"0,3"	Wales	Scotland	Canada	England	1	regents-04	104	4
Which of the following is located in Wales?	"2,3"	Brecknockshire	Chiapas	Texas	Montana	1	regents-04	105	0
"Brecknockshire, located in Wales, is a_______?"	"0,1,2,3"	Municipality	State	Province	County	4	regents-04	105	2
where is brecknockshire located in?	"0,3"	wales	china	usa	england	1	regents-04	105	4
"Caernarfonshire, in Wales, is what type of subdivision?"	"0,2,3"	territory	county	city	state	2	regents-04	106	2
Caernarrorshire is located in what country?	"0,3"	Wales	US	China	Scotland	1	regents-04	106	4
Which is a country located in Wales?	"0,1,2,3"	Carmarthenshire	Yukon	Arizona	Hampshire	1	regents-04	107	0
The Carmarthenshire area of Wales is a _______?	"0,3"	County	Town	City	Province	1	regents-04	107	2
Carmarthenshire is a county located in what country?	"0,3"	Scotland	Wales	United states of Americ	Canada	2	regents-04	107	4
Which of the following is a county located in Wales?	"0,1,2,3"	Colima	Quebec	Cardiganshire	Illinois	3	regents-04	108	0
"Cardiganshire, located in Wales is a what?"	"0,1,2,3"	state	county	province	territory	2	regents-04	108	2
Which is a country located in Wales?	"0,1,2,3"	Yorkshire	Hunan	Chiapas	Denbigshire	4	regents-04	109	0
What type of subdivision is Denbighshire located in Wales?	"0,2,3"	province	county	state	municipality	2	regents-04	109	2
Where is the county Denbighshire located?	"0,1,2,3"	England	Scotland	Wales	the People's Republic of China	3	regents-04	109	4
Which subdivision is located in Wales?	"2,3"	Durango	Fife	Manitoba	Flintshire	4	regents-04	110	0
In what country is Flintshire located?	0	United States of America	Mexico	Wales	England	3	regents-04	110	2
Flintshire is a county located in _______	"0,1,2,3"	wales	scotland	mexico	france	1	regents-04	110	4
Which subdivision is located in Wales?	"2,3"	Jiangsu	Glamorgan	Tamaulipas	Shaanxi	2	regents-04	111	0
Glamorgan is what part of Wales?	"0,3"	county	state	city	country	1	regents-04	111	2
Glamorgan is a county located in	"0,1,2,3"	the United States of America	England	Wales	Scotland	3	regents-04	111	4
This county is located in Wales.	"1,2,3"	Watsfordshire	Merioneth	Farthing	Glennwillow	2	regents-04	112	0
What type of subdivision comprises Merioneth in Wales?	"0,3"	province	county	state	federal district	2	regents-04	112	2
Merioeth  is located in what country?	"0,3"	Wales	Scotland	China	canada	1	regents-04	112	4
What county is located in Wales?	"1,2,3"	Monmouthshire	Moonmistshire	Wales	France	1	regents-04	113	0
Monmouthshire is a _______ located in Wales.	"0,1,2,3"	province	state	county	city	3	regents-04	113	2
Monmouthsire is a county located in what country	"0,1,2,3"	Wales	Scotland	England	the People's Republic of China	1	regents-04	113	4
Mongomeryshire is located in what country?	2	Wales	Canada	China	Scotland	1	regents-04	114	0
What type of subdivision is Montgomeryshire in Wales?	"0,3"	state	federal district	county	municipality	3	regents-04	114	2
Montgomeryshire is a county in which country?	"0,1,2"	Wales	England	Scotland	Ireland	1	regents-04	114	4
Which of the following is a county located in Wales?	"0,1,2,3"	Abderdeenshire	New Jersey	Pembrokeshire	Buteshire	3	regents-04	115	0
Pembrokenshire is what type of subdivisoin of Wales?	"0,3"	county	state	city	country	1	regents-04	115	2
In which country is the county of Pembrokeshire located?	"0,1,2,3"	Mexico	Wales	Scotland	the United States of  America	2	regents-04	115	4
Which of the items below are located in Wales?	"0,2,3"	Hunan	Rutland	Michigan	Radnorshire	4	regents-04	116	0
What type of subdivision is Radnorshire in Wales?	"0,3"	state	county	province	municipality	2	regents-04	116	2
Radnorshire is a county located in what country	"0,1,2,3"	Wales	Scotland	England	Canada	1	regents-04	116	4
Which of the following is a county in Scotland?	"0,1,2,3"	Aberdeenshire	Yukon	Colima	Florida	1	regents-04	117	0
Where is the county of Aberdeenshire located?	"0,2"	Scotland	Mexico	United States of America	the People's Republic of China	1	regents-04	117	4
Which is a county located in Scotland?	"0,1,2,3"	Durham	Shanxi	Cornwall	Angus/Forfarshire	4	regents-04	118	0
Angus/Forfarshire is a _______ in Scotland.	"0,1,3"	province	municipality	federal district	county	4	regents-04	118	2
Angus/Forfarshire is a county located where?	"0,1,2,3"	Scotland	Mexico	the People's Republic of China	the United States of America	1	regents-04	118	4
Which is a County in Scotland?	"0,1,2,3"	Wyoming	Berkshire	Argyllshire	Jiangxi	3	regents-04	119	0
"Argyllshire, located in Scotland, is what type of subdivision?"	"0,1,2,3"	municipality	county	state	province	2	regents-04	119	2
